cover,stego,size,bits,bpp,mse,psnr,ssim
airplane.png,airplane_stego.png,512x512,52428,0.2,0.035954,62.5734,0.999697
carabao.png,carabao_stego.png,512x512,52428,0.2,0.038422,62.285,0.999732
dondon.png,dondon_stego.png,512x512,52428,0.2,0.034252,62.7839,0.999527
house.png,house_stego.png,512x512,52428,0.2,0.038717,62.2518,0.999778
infp.png,infp_stego.png,512x512,52428,0.2,0.04504,61.5948,0.999867
layatdiwa.png,layatdiwa_stego.png,512x512,52428,0.2,0.036526,62.5048,0.99962
mandrill.png,mandrill_stego.png,512x512,52428,0.2,0.048148,61.305,0.999913
peppers.png,peppers_stego.png,512x512,52428,0.2,0.040582,62.0475,0.999734
sailboat.png,sailboat_stego.png,512x512,52428,0.2,0.041083,61.9942,0.9998
splash.png,splash_stego.png,512x512,52428,0.2,0.035866,62.584,0.999619
vase.png,vase_stego.png,512x512,52428,0.2,0.040797,62.0245,0.999795
